Firm_ID,Sector,Region,Size,Leverage,Profit_Margin,RD_Intensity,Org_Complexity,base_hazard,cov_effect,hazard,Event_Time,Status,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Embed_1,Embed_2,Embed_3,Embed_4
1,Services,USA,"7229,321243","0,713815899","-0,093458422","0,15928612",4,"0,064","0,890955507","0,057021152","260,7569323",1,,,,,0.0061723497,0.17669149,0.01907352,0.011410348
2,Technology,LatAm,"20200,34364","0,433720092","0,127279048","1,10756445",3,"0,144","0,394363922","0,056788405","89,59267326",1,,,,,-0.011362204,-0.0025338293,0.012428229,-0.03813018
3,Services,USA,"10540,73641","0,520533827","-0,292712067","0,684119956",0,"0,064","2,078097538","0,132998242","92,3541579",0,,,,,7.240102e-05,0.26722637,0.030984119,0.064615496
4,Manufacturing,LatAm,"56361,51497","0,201857251","0,619092931","0,421038046",3,"0,072","0,240069677","0,017285017","290,1913762",1,,,,,-0.040414087,-0.008955285,0.02556023,-0.010492921
5,Manufacturing,LatAm,"18226,76119","0,81771525","-0,409183411","0,356065238",4,"0,072","1,293981199","0,093166646","382,7828258",1,,,,,-0.057983927,-0.0097791795,0.033402395,0.026068367
6,Technology,LatAm,"30458,30421","0,700923817","0,179194812","0,420539767",4,"0,144","0,583868806","0,084077108","15,12937914",1,,,,,-0.033301562,0.005833234,0.023314249,0.0018797517
7,Services,USA,"4796,834481",1,"-1,107720943","0,131022271",2,"0,064","6,974145478","0,446345311","32,74185577",1,,,,,-0.004545821,0.20117684,-0.021561163,-0.0073088184
8,Retail,LatAm,"44230,6214","0,644038739","0,028274784","0,332762458",5,"0,108","0,482585146","0,052119196","90,8423337",1,,,,,-0.013496691,0.019151907,0.019442644,-0.02541291
9,Finance,Europe,"6523,031757","0,265026866","-0,528912315","0,158127936",1,"0,07","1,728732786","0,121011295","284,2614912",1,,,,,0.007398934,0.0878222,0.015693557,-0.032000124
10,Technology,Europe,"71036,25792",0,"0,154087944","1,020522759",0,"0,12","0,514608262","0,061752991","8,363783079",0,,,,,-0.0036219321,0.076396406,0.018557668,-0.005577177
11,Technology,USA,"25037,65579","0,458248492","0,105342577","0,329944553",5,"0,096","0,338597865","0,032505395","522,5591309",1,,,,,0.008847547,0.1606051,-0.032375924,-0.027584642
12,Energy,LatAm,"124053,8669","0,684549747","0,049783834","0,29897503",4,"0,06","0,689046357","0,041342781","150,3060779",1,,,,,0.010731003,0.026010685,0.027414761,-0.0032047853
13,Manufacturing,Europe,"45168,24378",0,"0,992901926","0,007922823",1,"0,06","0,273387975","0,016403279","127,2701495",0,,,,,0.020613045,0.025838973,0.004216724,0.0028808191
14,Services,USA,"32782,67787",0,"1,000997525","0,454774288",1,"0,064","0,216885727","0,013880687","547,6806549",1,,,,,-0.004671013,0.2324505,-0.021529533,-0.02705624
15,Retail,Europe,"26364,58555","0,224400996","0,078365193","0,278400137",3,"0,09","0,457964428","0,041216798","523,0492536",1,,,,,0.025134044,0.03165563,-0.00013219379,-0.006693445
16,Services,Europe,"26690,06639","0,347581205","0,202976336","0,118195993",3,"0,08","0,526922118","0,042153769","162,9050251",1,,,,,-0.0016896594,0.15811875,-0.0016589249,0.016687848
17,Services,USA,"37195,68364","0,100518787","0,530359684","0,07420615",3,"0,064","0,268022438","0,017153436","1555,567467",1,,,,,-0.015039826,0.18362118,0.0057476675,0.009698175
18,Energy,Europe,"15141,88464","0,146660447","-0,08916883","0,623087558",5,"0,05","0,222598789","0,011129939","824,1193819",1,,,,,-0.008537468,0.10250731,0.010727008,0.03208126
19,Finance,Europe,"84887,80304",0,"1,072811873","0,283251844",6,"0,07","0,049073417","0,003435139","66,56951978",1,,,,,-0.02054763,0.14989066,0.021396842,0.034483112
20,Energy,Europe,"31928,58252","0,285307919","0,172983698","0,21854857",3,"0,05","0,47034157","0,023517078","55,88688366",1,,,,,-0.029825682,0.15806337,0.011636161,0.049917012
21,Energy,Europe,"27860,77291","0,454740682","0,080196559","0,248055277",4,"0,05","0,48572475","0,024286237","38,03675055",1,,,,,-0.02794168,0.17320144,-0.003663553,0.039161675
22,Retail,Europe,"16895,99092","0,450034042","0,081539804","0,741065852",5,"0,09","0,278866623","0,025097996","1046,475635",1,,,,,-0.0036654845,0.13360071,-0.016251223,0.032490253
23,Services,LatAm,"14154,55353","0,437666771","-0,014769962","0,960668237",1,"0,096","0,896673028","0,086080611","185,7386509",0,,,,,0.0014872719,0.057544146,0.013593909,0.014692068
24,Manufacturing,USA,"35630,57572","0,992360936","0,55527823","0,153480853",6,"0,048","0,389271882","0,01868505","106,8985329",1,,,,,0.012980914,0.08679511,-0.01845438,-0.006814651
25,Manufacturing,Europe,"39355,67549","0,28235013","0,457113565","0,520968681",4,"0,06","0,224456645","0,013467399","358,1828868",1,,,,,-0.006098764,0.1489997,-0.018710941,0.04088243
26,Energy,LatAm,"22638,50708","0,40249058","0,173345479","0,382407847",4,"0,06","0,382581517","0,022954891","47,63739494",1,,,,,-0.00517972,0.060510878,-0.007978631,0.01236216
27,Technology,USA,"37454,29753",0,"0,240630629","0,700393734",3,"0,096","0,225186238","0,021617879","20,46841722",1,,,,,-0.005813254,0.16046344,-0.021214852,0.017663367
28,Services,LatAm,"38313,03791",1,"0,346433261","0,422766209",3,"0,096","1,043086007","0,100136257","71,82085463",1,,,,,0.006934724,0.03691855,0.0074254414,-0.004090503
29,Finance,Europe,"12871,68223",1,"-0,719900489","0,443925238",2,"0,07","4,046846233","0,283279236","92,22129051",1,,,,,-0.025426822,0.21805808,0.007841465,0.048979588
30,Technology,USA,"28515,0862",1,"0,153364769","1,100211306",5,"0,096","0,49486493","0,047507033","28,70784641",1,,,,,-0.024797594,0.19467457,0.004714502,0.02379845
31,Energy,LatAm,"17810,77835","0,69919053","0,06900701","0,833559655",3,"0,06","0,713908095","0,042834486","35,20677264",1,,,,,0.0022416431,0.09682777,0.017173294,-0.009858154
32,Services,LatAm,"24066,90907","0,791047957","-0,770367346","0,411577505",3,"0,096","2,342340232","0,224864662","36,02681763",0,,,,,0.0065724766,0.13340656,0.025919717,-0.01883749
33,Retail,USA,"23939,77123","0,043361192","0,060560202","0,076240841",3,"0,072","0,393120604","0,028304683","1877,191076",0,,,,,0.002740603,0.23420341,0.0031451322,0.03526727
34,Finance,USA,"17296,06338","0,99476189","-0,707462814","0,251946102",2,"0,056","4,365062897","0,244443522","46,90959671",1,,,,,-0.011915477,0.27111557,-0.011535665,0.0061094835
35,Manufacturing,Europe,"34121,24231",0,"0,708791996","0,724659212",3,"0,06","0,139300529","0,008358032","183,5056471",1,,,,,-0.024400944,0.2595002,-0.0005052127,0.0358314
36,Retail,USA,"37230,24612","0,409426384","0,017760799","0,30568064",2,"0,072","0,855164403","0,061571837","584,9174088",0,,,,,0.0054398095,0.19647728,-0.035926875,-0.0222634
37,Energy,USA,"40144,90191",0,"0,004501928","0,908460132",3,"0,04","0,256986431","0,010279457","402,1913157",1,,,,,0.00941527,0.10180068,-0.012389047,-0.030623503
38,Energy,LatAm,"12758,36162","0,29023137","0,255852364","0,403925461",1,"0,06","0,724359083","0,043461545","687,5379658",1,,,,,0.0117097655,0.05625897,7.7082776e-05,-0.024294004
39,Manufacturing,LatAm,"11208,8407","0,783524976","-0,714278525","0,654024076",2,"0,072","2,618375142","0,18852301","5,018493747",1,,,,,-0.010588655,0.11536458,-0.019037928,-0.003121294
40,Services,USA,"7737,68113",1,"-0,621115074","0,206301416",2,"0,064","4,128707341","0,26423727","24,98056541",1,,,,,0.009318904,0.123086035,0.005422863,-0.025223732
41,Finance,Europe,"10008,74327","0,565912453","0,017159617","0,187985307",1,"0,07","1,549165516","0,108441586","2,45511058",1,,,,,-0.009918556,0.2322843,-0.018677399,-0.00010367483
42,Retail,USA,"12820,73181",0,"0,019019275","0,604720565",5,"0,072","0,161802381","0,011649771","179,7716328",1,,,,,-0.0027260017,0.181307,-0.025141161,-0.041399933
43,Retail,USA,"59072,18584",0,"0,039843746","0,299694859",4,"0,072","0,249152237","0,017938961","1769,430755",1,,,,,-0.026455706,0.23430438,-0.021076892,-0.019104
44,Services,Europe,"32957,21161",0,"0,433265498","0,064962418",2,"0,08","0,34447054","0,027557643","634,5671048",0,,,,,0.0026237573,0.18960704,-0.0050498825,-0.010533847
45,Technology,USA,"75842,10986","0,298314188","0,141484417","1,181024324",4,"0,096","0,226609887","0,021754549","1740,727373",1,,,,,-0.010768719,0.24335624,0.017475318,0.0322688
46,Energy,Europe,"41648,69905","0,008231707","0,077241211","0,567266098",4,"0,05","0,212560909","0,010628045","532,4143516",1,,,,,0.0044475887,0.09661238,-0.018484604,-0.012969416
47,Manufacturing,Europe,"40810,53127","0,814051261","-0,580257613","0,083539761",2,"0,06","3,188544756","0,191312685","5,625108804",1,,,,,-0.008516954,0.06968789,-0.031149622,0.003631547
48,Retail,USA,"11915,5815",1,"-0,010742869","0,009775806",6,"0,072","0,745168409","0,053652125","359,0500882",0,,,,,-0.014274275,0.23639946,0.004448477,0.022888213
49,Retail,Europe,"25502,39121",1,"0,011925736","0,324269755",0,"0,09","3,765721163","0,338914905","41,84330368",1,,,,,-0.00332357,0.2578898,-0.01044823,0.009269305
50,Finance,LatAm,"62706,29369","0,773430529","0,401994437","0,350557406",4,"0,084","0,539491987","0,045317327","584,0485558",0,,,,,0.0039043063,0.050435595,-0.017514573,-0.005767405
51,Retail,LatAm,"33221,79829","0,672858042","0,063588767","0,751701973",4,"0,108","0,532510486","0,057511132","102,2551805",1,,,,,0.0074663423,0.17550151,0.0007125521,-0.016337153
52,Manufacturing,LatAm,"22743,09027","0,847619198","0,178966729","0,373058068",3,"0,072","1,00595067","0,072428448","29,47826619",1,,,,,-0.010598563,0.10050309,-0.0038046027,0.0050627813
53,Energy,USA,"11835,10174","0,536768283","0,203726164","0,24930668",3,"0,04","0,654929895","0,026197196","6,343530257",1,,,,,0.0010063723,0.19813253,-0.014935942,0.00461331
54,Energy,LatAm,"13649,99619","0,319331641","0,1512001","0,173814011",5,"0,06","0,283906692","0,017034402","816,9479995",1,,,,,-0.011505203,0.12899397,0.0046705836,0.01199571
55,Services,Europe,"11044,51681","0,901544802","0,001948823","0,29547255",2,"0,08","1,826921124","0,14615369","252,2487154",0,,,,,0.013091513,0.2575367,-0.009440665,-0.012792774
56,Energy,Europe,"40645,2523",0,"0,280712975","0,481039325",1,"0,05","0,439889096","0,021994455","1039,81158",1,,,,,0.0010554176,0.08424114,-0.0069865286,-0.0021411404
57,Technology,LatAm,"28061,75749","0,804473054","0,164509448","1,243550071",1,"0,144","1,12797625","0,16242858","68,80532857",1,,,,,-0.018634165,0.13349125,0.0142364865,0.012638368
